docid	prediction
aOOzT3CNAzPSMXLTE7p0LA	4
26RVMCBt8xKGxCIBUaHvg	2
ji0deI5TEFsnaDl7e5Fg	4
LENWXoobfRTaTtwMGf37w	2
ReK8GGO04cSbw4zE3x2w	4
7B5FWGfF6firtoylA8Zg	2
lIaqtik8DDEOzEeyQ	2
z9B36uuuCJuRX3bECKFzQ	4
n3PPM8YkzIoSNiKulyQA	2
pfpuorLNG77iZDS3qLbnw	4
TIU97wIv0r4dsq8orxAg	4
eYAgHw5cAcX4hnghvnQ	4
1bEljbe12FkuHQD90a2MlQ	4
UzXP43LdEJMVvDlDQjOrg	2
FMzRzutyJMrMm1vkK2qrg	2
lEQZSgNRaR0m4jtFiLcaw	2
POpmmIYmXORiQxd7jLTriw	4
b86Kgjy1qgiUDAhWpVWBSg	2
ZekL4kigL1yg0GqqetSyA	2
xuDMKWxrwppi7f9ReTXQ	4
HzeU53SmLyzluGzOveFhdg	4
heenITfZxjozPuYwkGNvg	4
0dleRuSoRtOkEKBK0B7PQ	2
v9j7ogtVNJ0UrmPsJc7Miw	2
lBiX1RRFhht3tjlNVD9Q	2
a9YdRnMzStEZUmgYOxw	2
pyODwaaI7Ee9HxyL5rgzA	4
D5hIMG02NuAxG7PYNPgOwA	2
oRGMWakN4JhpS309Hylg	2
s6r40vC0unK97QjcjYKyQ	2
i7uFkdWyIms49pMRMPY5Q	2
c9p4ECkuL2EhllcnNKBGpQ	2
p6dyClGZaeRm6pg7ifz9dQ	4
WRs3KFY5P10VmvaJLGEig	2
u4ZW8VRed1d9lkctNBmUrA	2
mfjCRcD22kkfFGm6Exx1pg	2
w2G7joBrNuwN1iuTnpMLtQ	4
PNojrK8j5mRrw9ZRK4kmYQ	4
8iNpR7XnEWYxeOpZSc3Aw	2
qHM2s7VMVZ04V6FMg5zoQ	2
Ssj1MQTWJKvm3xfwXmQ	4
oHQRmNmoCDT3zdfsgjTrEw	4
wRe8ORmePFY8J10TO6cCFw	4
FXMO3cfSxVtQv88uqSYlmg	4
J3rJUuNGzYopJMA4JRJf3A	4
txVOIQEbJ2oLbR2QBl4eEA	4
ChYM6YThKEzhmiLEQo12Kw	4
n6H71vI6Ive0kgwqjDgIPA	4
oSmMztqmxe6ciyXqtn2Ww	2
dqD0X0A8GB3a77sOY1SZJw	2
sGlMlJEWx6eV9an9E4WiYg	4
0KEY9BvW8j18U86liRu4Yg	4
xaJzCxAbGHYhy7MTZ6zmQ	2
Ples3Xdg5sUrGV3caCwew	4
8lkeLLBVVqryVfW1DMTLBw	4
ADSEWvklW89aXKnPcy0lQ	2
21TBW5Bwg4FflkFt3XB7wQ	2
mlhPcEQQ4JPmzN6CRAo4Q	2
Wz5zWQZN8Dn2iz14gPTBJA	2
EpC2ZWhPBBNWaoIOM5cHA	4
ENfFCPUBlbdPIB8iqa38MA	2
T0vnvzijRhypVqYECRJJTA	2
od1FMjOQq1ASWTsOcLQZA	2
Hq5jYx1aYC4XwJwVyp9s6A	4
bu8grxktqpeK8LxfiskgYQ	4
RLL94Wn9qX7cnIoCfrIL4A	2
JNONHQnjA9dgn1ndrhntJg	4
9Kua2tBCieJnXT9BpfM9EA	4
Lb5hONkVtLcPGTAUfD7ciw	2
ryrRQzNyHoC1FP5X2jsTg	2
6B4RhvG9vaFLFhaunKlQ2Q	4
MWenLM5v6PuuNu3e4SvMGA	4
1VCLQfPZtiUprNU3wOQSCg	4
rFsEKxxykp44fqHlt0NTA	4
nLI0UYI9ONXTif1NrsZSQ	2
vdBynLicrQMcfjnzNOXz1w	2
Qb8y1uAbryDrrFuCQYNsg	2
g4fyFZZsDcOSHYUpDyTag	2
hcN0Lzl8HWlgq97Ft3D4EQ	4
4sl51OafknDDbl0kxLDsbg	2
o1qLwaRzoKdDwBFTixfSg	2
93adwuQm7FbtUP8WnpZRnw	4
HymY1CWx3LLbDcSlUHCxkg	4
DeLzHeCD8DInwiTLVLIdw	4
sYQCaZ6eeAIWplrN85Z7g	2
11ocB5F9TyDEiS7JxMXw	2
jklXB0xA6rNNl6CGbhAHQ	2
4IvTsG48kFrnikDyoqVZxA	2
E7gAemH6KVBTWGJMAWP0MA	2
8iIVG41NiMT0ESmU2YC3tg	2
hGNcNKcSo56F5moiSZGA	4
dc9zk4Dgg123DLi7jg	4
MYor82Xl8IHRuHGqBHf0A	2
6mWQBGJ3fuOBB8ENQedUZw	4
jBQOcCl2GStRoNogjUg8sw	2
3F3SgC4WOcdJpvfVqbbvpA	2
CgQpDxQQUflCxjTQxrLiQ	4
cWIkmAz9seJ7b7n942JdQ	4
SOYUx1MkFHxZwS4LyFg	2
ePlh7iHWeC9rT5kxJi6J8A	4
kkrTilptgFCW2xDby4o3SA	2
SuJ0lPgYvuR8ahUxIoNsSg	2
VOHKdym9kQuC7etKBtXZvQ	4
OsuO6001Gaesc1wesXZ4wg	4
oFZME3UJ2nZRRxnEO6dmnQ	4
qCieMFS4oEZpaeBsD26fw	2
LTx67hxZqx9Q3aKblc1UZQ	2
wTbTZ0cX9vYGA7ZBz0uA	2
1W00BPCNu5i8GfOcQcDa3w	2
WUEJe0gS8Svdutf1MdYFw	2
QRW2iSHkMSWv6cPf44VIuA	4
XSfZDA2CPBvGhgOzKcxqg	2
WAF32Uyf0vQLJMmWHDMEw	4
a0ghoYQNDBTJjn1ttuM5Iw	4
4xuhITkzvRCzRfpJU234vg	2
tBgIq5QTuT03nBHl64r3g	4
shV2lz9wYTXPFmNkAMEjlQ	2
tP74c37GQkj7tFS3Obw	2
buuhj6g1OtR0EC9rC64aQ	2
4fybWxcjjJMgGLlKgKZw	4
YfXrroTVKvIH0qtDFrpNlg	4
7l7SF8AirwN6btJFU7LNEw	2
gigZ1xJ74pQkiejpNZ4Cw	2
Zmy1IPGyH9WyFB9XTDr3iA	4
FCSMXA6bPmsOVXYw1vlNw	2
uRU8qXdNamgz6fmhFL8ZA	4
g8w132zgUuTKPiDtIsfS6A	2
mldH1yIFkZx5Wi8zloBSuw	2
7UBudywlZnuheVmYoE4LwA	2
kIfVdmWDWAHos3l7QyIpA	2
hjGh8Bb4bej3jSThD0dbVA	2
j8hrNttZpxekt9KCMvFuoQ	2
LxSvH1WlAqFlNBs2do9Ew	2
LPkiCXieeLWEd9hYIWG50Q	2
AQ9PSdSDkrPqdG44oyBUA	2
tWvu4cJgWSpvXaLtNVQA	2
BibXVDVJLyJeVP9GOJTf1Q	4
JL9CywEDsbH2vZ7R1CKXA	2
Rg4wZ7Q0OADiQcv5jdLeWQ	4
sjxgQ5LDFxD4tky4dBnpg	2
SFpdsBAfxriDR3gS8I3Xw	4
1IHkXTBrfdxh39FAjWBEg	2
kfbgtNxtuwIyLumkF2xwDg	2
xFD1MMlYbX3XXQuVLf2TCQ	4
9Qb9r7tA4w2KvSinRzvDw	2
HkAVcUU0FK4aUm5uHPbp9g	4
YsXFGpKKJpNdv700wLVEg	4
vTF42GlC49lRPlaMSADitA	4
s2rH85zoZ3cXVUTwqYIJnw	4
5x9revyoKZvnFJbmbmmTDg	4
SOjgjWKnI8F1IlrXic0Lw	2
QvtHevpCaEqWe0xzBgWoQ	2
UoaXFgPjjFZUGGsARd79Zw	2
tu0IJSoA9BWl25Up3icA	4
0ORHZBT1Q2guUYlsVK23nA	2
kDlrnf14ld85w64WysqQ9g	4
KS0QiYTfYO5oTZ5cl762g	4
WvRY3GbYOxdZXFJUWOLQ	4
Ow05Qnjlqf4aUtixjSXVQ	2
7c1z9uQwHc1U33P6T74Jw	4
MkvkybwWY6QaH8cUuOObA	2
b3KRSzwQlvjrp3LSs05eQQ	2
gOsb6keIDYeIjv3yJzkA	2
DS0xafrHpHBp6voi4QV3yA	4
YVVx5XsZniiDgmBXazfLvw	4
5zKXXc4hPMh0HIN9u3fGg	2
t8ZmTSRXizMoReDTrKBFw	4
7GUvoZB4SAKmBSQG5TYsiw	2
1osKxAdgnksR4uD6DpAg	4
kqrWSohmewZ9xEaj5oZejg	4
vl1XMefZtQhr9UEbVKXgIA	2
eGIsurU67wGj44R6AmFHg	4
aRu2X5uy6n6Htel9FuxduA	4
iq5tmME31xniYPGn54bUg	4
XmjsVuYt71MIGGGJJCGuA	4
F0KdyX9idFXykKBm9Neb7w	4
JnUXfKE3jz2K8RWk8C9eWw	4
gQf96eFPIR0Htuf7KA	2
eVSgaPp7eadSij9LU15XtQ	2
TMC31shyZEkKmM6y0SVDg	4
zYUfkoOadaBJ58f3kw	2
g8Pa5nfciRlfAh0LdKOw	4
yxFGJFJZTvKKhDaFR2896g	2
EpJYovK6L4lHgz2g6OPp6A	2
WuxUSwHiQeMW7pZ2uR5ajA	2
A3fmWsWZCXX702WmGk9cg	2
oTiyOXINjpOErme8jbQUA	2
ZJK2UoJ0ZSqkNzO96hVFGw	2
zggE1GpRubWtiOew1BT7Q	2
VudO4QAFxUWRP63IleagQ	2
NgVVUFq1FUQn7rk8yaUNWg	2
HGEEIFXZeLcxvztFOx4qw	4
Tub60O7VvqatWWa1vWDISQ	4
WKbTauSn6rETkDjlJyNbA	2
x1fSehgUKj3B4kuZ9mamQ	2
ZpbO6cBfrPWECq2U9Tdg	2
AGkgCTB7BD7r3UA2Gv6Ww	2
GypXBgcUBVhPj5HD8TTA1Q	4
fOs0z4KTCAHSuKxJBOlajw	4
PErR5WGQorHKaLmjKCOZA	4
TKImTSW0SxRptJQSfRXkRA	2
PseBIlr64dcgGq746p3lg	2
mPSw09IpGQGsqjF6xmvSw	4
1EkEutbruZAgCbYEhUBq9g	4
Yj4IA2BvaCrMOHe5k1lQ	2
gSug4B9ZiWI8npr5COfb6A	4
Le5HqwNVMGTXmELMxHRhRA	4
Smoo94ydPjrlR2DSxCx1xg	2
yPmg1mFrQuj2MzJWkjxjA	4
vATsk5XdH8MVbu65zmohw	4
cEEG9rRs38GTDaGd8p9w	2
WJNRQeljZjuV9xZoa6JP4w	4
KOmDZpgyuVLWpQmydfvCgQ	4
0MHH8oY3j4lSXdu10EFnUg	4
ODj8oKCRRcRIM4BXFupDwQ	2
NiMAlcBFlZjdCgJZMwVqGA	4
KWxrTloeM7nj5V22BqLV2A	2
bWhz0gwcvVOafbc47BXAXA	4
VIK1RnbubJQSEY0RHPCA	4
LKV2bnesCr18V0pKEHSwg	2
lVEW0MnPhK2tZTbiTZyQ	4
V2REDdebYKwg6B2g9l7Zw	2
QPWEX0XhpEulHGYcSoIwvQ	2
qRke8dASumtBqndBW4o5Q	2
T2fOMaax61md3zUO39oEyw	4
kRUBd1sVBYXASylBGJP1Mg	2
n87aPenY9PVf0DdlJLeNw	2
JhHgwXGbEH2oD4eaVsPsyw	2
P00gxHMmZkTEykI9eUh8Yg	2
aTBfcI9mc4fVPrmSJFyFhw	4
o7JQCFgkXmOSYGUPqvLZA	2
8EVxKwbiu9HPYYpWC2NkrA	2
ANIMr8xAkC4UiXS27sGtw	4
WAV6V58Gy2B1AAdq36RBwQ	2
KYccLguklj1dNPiMLEuBg	2
E0RhpiKjf5Ap0WocF5ZG0A	2
MpUEgtV6GNe6KMPeVruCkQ	2
abqdOgXz0W9z7tPqOqbQw	4
C3HpXtka7Z40NSAeoSlCA	2
XO9eZD4mxQW13yxmmNYtUw	2
qf3rb6m2SU3pw6nf6qFByg	4
sl8bxDHP3xaH57MFfHA	2
INimLquO7Y0ehmgxJCGc5Q	4
ASv1750Nj5s0fL8hucnAw	2
v3AyE7RFabip0OhaJX4jbg	4
95YBukYOGCX05H255ZsbUQ	2
EfBpke9BOIYnfnZvc8gkw	4
SVtTEAVa9OrwW0slSORtg	4
AYO4IUc4rlHUBfn8X7zI1w	2
vmWNeJGOnjqMXBDITLsA	2
GmoLPaK522aIIjyvULCNnA	2
z9219C2Tw2E752v7dlsTtg	4
H3OCCdhGxsFqQm0PiPJNag	2
pVNoR5MhsZuwLXGySovjw	2
06WlawD3Vd7uvQm88KQ	2
Q5Sq5y9mlI7WpYEfW4DrRg	2
Ml6bF42XVCBi1ubatGfyw	2
qjFfTEaci0FbIPzdzuUcGw	4
Qc0HtCvFrWregY6qgr3x7g	4
PmWYwnFJKAM9JQx2vAUgeg	2
da0t2i7JTBpJMlRawnoEQ	2
AQn6uf6W6SjcvrLsgo1FuQ	4
HwkeZuMsGIFfwzwwD2g	2
xl8lPqnu2NhxlgXYzP7O4g	2
q2wM162Bmc54asa0zKo5w	2
V1zxTpQsaLplnSUOeW9drw	2
UZ1BbY6z4dbakukZhDXpLQ	4
wyfqutBB1d6dl6Y8D2H2Zg	4
ksp2YLdE5xBnfZ6ajxbg	4
Q4MqdCW5dljzpbeALBG95A	2
uVHvAMudHUeT9W9uNgQ	2
ot0bDpJFuqyoBWN9hDeeA	2
5D2JefoJcDgDqnrJ4orDw	2
MNmYLWQMTaSaU68yNLg1hQ	4
FXlkroysYovvocnRuoYC0A	2
kArMj14rhOJX4FDrdsUkyw	2
3nUIZn6f3oeP2rFWgiMujQ	4
WWWb8dxS1p96pyW0Nfx6yw	2
h9MXLdofbIDdznHyTufu2g	4
7duruNWFoLfqs7luGAvfQ	2
OLCVlPhsDUp8f00eWqrg	4
iZ7Z6KMKDLOOvwVGTixlnQ	2
9d1ZlVdzCPNRPezadrRRuw	4
KIPgvyVh4y9SaCZ6O8fA	4
F6ddCjuiBDlGOmfcZto8g	4
w6gq8VgGJIPh641ZmzlhFg	2
qbLVBnLqewDbgpN9zsWg	4
4rmMiVcoiNX4QvTjtdGHA	2
KCGXBbi0Iiq0KMy1uYgw	4
oqaGreolBuOI0raFzKkA	2
sGAg70INGGV1oNMeLCG4gw	2
NW7nPjWNgIKYDIS9YOJ8g	4
nBJtAjcqtdvwe4UVW4R0dg	2
vmYrzRxmP56PVpMchJ5YqQ	4
Sqq0Equ4C8ew8obq4eg3Q	4
rgB5sWk6Vmd6ffDawqW1Q	4
AwVw5sQF8e0xucZD1UzN2A	4
Lxd9H2RZZWwUoGngKV9NQ	4
sKSFAL8VxuhCWdZTflINvA	2
7gV35V9fZJe3ZhosZtYQ	2
pljOqLqo2TRDMmSkTKIYw	4
nF8UttSNu33gc1XTpyBQtA	4
Ou6lvkZmWpvUkDs5nsWWQQ	2
cctvvZE5i6uLPTD6yzBHQ	2
tGCFLT1GlSMpN70NXsjsmg	4
5QmGWmwaw65WEWH2z5G7LQ	4
7g4k0b6QBT4MocGEUerx1A	2
Hl7f78c4p7DtE41EZ15NKg	4
vP24cxbaE1iWECg4UQaJbw	2
RR9VVx2qeUxUk3IRSoEJA	2
PijJlwAgxKXXRaEqoT5g	4
yN1KBOZUdXjgC0O7EKitUA	2
Guul7o1vDQVk7cbhJnAwQ	4
atMklzdQvJEhlGoHjohg	2
BO7aMR4RffEj94EbnWtYA	2
6IOMLa6ia9NjMyS8dRdwrQ	2
smSDEgckiXdpVHcwTRZSiQ	4
b8a6lT2cc2PHvftfqC82Kg	2
6D2dwEIvCbSYFXVfG4cFIA	4
UNRR0cuo5D6MiF5LVERoA	2
Py7gL24s9dYRUP2YFZMpgw	2
1HJ8SMoDfkvXRMIhlFfcA	4
sOTefUhPDlZOw5riN9WRQ	2
18mRTkJjFJ3LyqIOyaICQ	4
8cBzRL4hq9VGMLmScXICxQ	4
BuKBxQgQISOsmIruH4OlHA	4
H4voNUp1UQevsrkIClfjsw	4
puNbORbwTXtQdV2UzI7TQ	2
DNF0GSx0fsKAA8PF9g3A	2
DSnfOZd9xQ1VqZnMZH5uQ	4
tAR9xF9JAjGOI03oBGKYg	2
CtjT9pBlLB3iWN7QUsx5eA	4
02H1RTIh9tO5igxcBMI9w	2
tyyrFUejZxjmkfeasJ3Ig	2
VCYD9n8WXtoZPj0N2lkIw	4
EgqpUcgbKiuYo1OygNvHsA	2
fdLb7mZnDQV66yo5BuJ2A	2
OMmhJUq9lFWk1EzMcEDJxw	2
Kds9XSlkvzs7PXGjewSQw	2
WTsomXtaF2KjDrfCZVNaQ	4
mWPSQnUJOH8ejCVbVk7Q4w	4
cSs6a1eaHFJPziSPgSQTYQ	4
GRu80GzzFouU1M0v0R2wg	4
T9FBMjYrHEagZE3W31eaw	4
ZzruqbiMqkbJwQNCMxGvFw	4
mwlAb8q1RdVJGd21pUxUYg	2
JBO0WdE4yKpANhVp6GgfwA	4
IqXGV4Um2YeIbdAulJeMw	2
DrJbyrTBYPGYdBzsewiMQ	4
heflrrFkuF4JaLbMaqaZaA	4
XA2CkoyfIClMtN1cPlDLg	4
goON7ixvITcJcf50zxfYeg	4
Zes4Dwhafw80bGxfxEJ8dA	4
HrwJmNRnOTjHDUeomJdP9Q	4
h3yviDDCVlwntX3a3EoMQ	2
Jgh2KwRIdrg5CwH5p65lw	4
lHcx0Y9A296GFuX6yboBzw	4
4pCD6dI2bFw9kaoS9k2zYg	2
G59zibWNNUBK18FzDqI1w	2
BqPZdeICXwLRaGaXDbInJg	4
8zFNR6vjDd6j3OmXK5WPNA	2
8ClRn6Fupj8Crk5VMveALQ	2
0MaOHgvyVZbrINE2GDGTow	2
QFGik7nFWHgNKsSvTysiHg	2
Y8aArrf2dPLdlFClCbQg	2
f7vhe5Ac9sAM5eEmXj2rkw	2
Z6CuvnUZ2OBkKVk43bE45g	4
lh0cMsiFNEJ9qzhhmK0FkQ	2
mLBtlIHhyFhJt7Zo53PheQ	2
45MwKIVhgYjWKbxnSO2tg	2
1SjpixjzpBQApP0ABrCiYQ	2
2tdyQFUAYDIeP5QQljJBg	4
uKiNjk0rczFhJtkHOXJQ	2
ta2crUWgxYAc8Jccl60A	4
LHAA99peS1tIKC4meUkLHw	4
F6HuTzSQtxbBF4UNvPvrAg	4
j2O28wsXsPmfZwS73YbLA	4
xNxP21aNHU7zDUCFLIYg	4
JiA1zsVOIMScI6lTmlIB0g	4
DE9yyB19MfrDLPYuvr75GQ	2
HIgdl6QNqhZyyfB4ZwZT8g	4
QuWc6j306ZndN1qPNTBVw	2
iXnrNti4psnv2hPhumIH1w	4
2FNK18T85RAFMap4bY3KcA	2
iFIumfDjxAa73oIOiBDA	4
9deQuRIvRzU31T1e12C2w	4
dM0pzADtOSCMBJzwgtRFg	2
HhroA1KMwZAYBhoCXqN6g	2
QYfMCU8SRMOSQ3USyZ4diw	2
XzPcNUmnFJWEDmfPc16zBw	4
KZd2tUteZ1usUlZbmKERw	4
krpBRZSqcdZRJ3v5XdBdg	2
iZOHQF1gUvHmbCffHTRcA	2
RCzuCOlcvnF1yn53CDDvw	4
BYXtW2AAt2YffrUHJ936g	4
jXH9YaRnCV5gVX8wVwKA	4
gDkaxMdfxfEesQAX3VUWw	2
pTeyAyOhq65opsicOcwMw	4
lvmCIJLQunUmp5lwlqe97g	2
1e9558kzp1bvMMnow4jQ	4
00lpdGZwyyzkfYwLpgPoGw	2
4oKWgdXFGLDGj7eHy3jg	4
hiCjSIxfxgsN7ADkOBO4w	4
80QRekWstu8CT6PLgOxXlQ	4
smHsrCQGwPefsIq115aM7g	2
x5nYqE4pKNa8e5gOuumafg	2
WN53Lt088xCoIWAPVOKnJQ	2
FZdw5yexXA4RWY4nXgEgpQ	2
Iiw9ejZVemwLPIMLb3czA	4
LGlnYjMnIoi2Zxrlyi6NTg	4
mzRauKhViQrw7nnjjgBSw	2
bkz8NZGtBYQEdyJTrpw	2
w77i8ykHuLY4A0oJJL2Rg	4
MwTLlBdu2Kp1kUOyjCdQ	4
LyArCpV66LgbkUtWmCrpw	4
s9VkWAbkSTVqBOOpGuag	4
TVfaLtO6q6u5uOiA2STrHA	2
Rvx6coNzljIRh4ies35ukw	2
HbwRlNIorYdb7OGoD3oIQ	2
Bh8ctB7x6ponpPq0inn1w	2
jh0ojGp8R3JaWBnFOZxWA	2
I0NmCdxdWrTlIYVAxeO94Q	2
2hpXcFr8vXqpAF5SCPmV7A	2
UHGDikNvMck5LCOvoShUw	2
O8H8WRDaZCwDj7XAmhpKg	4
SfWtbQeG5AoSF82cfbo9dA	4
cAOMkJSb4jq3LQ75ou0g	2
JGT2bsJdtMZGdEj9SKuqQ	2
vubAeWRcuHEKMmZ6ZcMHw	4
BGi1r5keRz8JPLSo9okyTQ	4
tVD6U3edRLX9WcvnoqHqg	4
JTFH3PcbTPkLE9HJZWHfQ	4
DV9VW6BBrJXMHt2xsrbpQ	2
Psz84ChUoJPCinBxSBJOw	4
ZSJvlwYBTkot3dTZe5wBJA	2
IYmJZdG9FJPBQsrkS02A	2
wIcMIDxrZ5KoxJEjZcWQA	2
rHqhHys0acvIQG9DdYGiw	4
7BDpY8cOXLkXYfEbxTTVzg	2
RpilH5l5zqmfY0Z2tQryQ	4
6XlyeJAjhjwJjCcQidiWZg	4
AlZdPs8WLIjLwi1OOpKRcw	2
4ChY22gEgYculliZ2ftfA	2
xFMC3GB7Evk1FBjQqpJGvA	2
pyRZ5zQSUffvzccoztiPXg	2
YqTc73zlX2jakBtLAF92Xg	2
dG4cnvAKErLTcsIkHZwQ	2
SIoxwGeucu0BiHGR3iLw	2
RTJKmhZEqZQwmM7NCPqng	4
BDxxQ18QAnzsI7NEXOaQ	4
OtIoLmvWI7bGA5vWMPkRxg	4
XTmb15on60EanELSwiO7g	4
5cZFHKUPthuBexRhuBPPiQ	4
38el7luGrBdwnslBqoGBRw	2
Ip3CrUvwSvSbNY7YiLrA	4
0s4dzZdGmkSoYvLpDRuA	4
x60hmd6ctTRruKk5rQRjSQ	4
8piZWZza4k8Pl3xQmM2sQQ	2
HSY76wBrRTa53V3FAQDqaw	2
emPPkRndGmHxUm1NgmSEw	4
3K7SwTNotBbZdfpWtkA	4
iK4pRvOxudj7a6WvA5AlLg	4
WMoxa452KdJEMj7MevD5Q	4
RThLB2zpp3UrWJW2SyE8rg	4
m4UGe9eP9KHW0fZHptKWA	4
p9lMb6Omw79rZwjV5aYLRA	2
x8ZrUwyH2DxXPobnGkgJ0A	2
2aMfhDplIH3b1t6PEF7twg	2
cVIG0tLKp06YYh9EsWVO4Q	2
GMmGDasyE6o1RnaLVT9rEg	4
m2OAvw2EcEhwfotGQHyxDQ	4
mkx56dKu3O7V6dKOXAcJpw	4
7Ygg4uUVpiuFzGo2VyiGNA	4
9kXc84Kp6xy5ACkYh0dURw	4
JPDa4rDDMwK6VZiiapNeA	2
nsrfcVzWg50ibNOEpiMw	2
gfpeTDSgIghiSII55z1I6A	2
lvTM6L1hpsyt5HyvMhh6Q	2
